zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name,coastalZip,coastalCounty,ALLCoastalCounty,state
90058,"LOS ANGELES, CA",G,39384,G,683562,G,2628468,1457,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90059,"LOS ANGELES, CA",G,6736,G,151925,G,623663,292,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90061,"LOS ANGELES, CA",G,6257,G,83602,G,366846,361,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90062,"LOS ANGELES, CA",H,2129,G,15061,G,64205,221,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90063,"LOS ANGELES, CA",G,3570,G,43042,G,168203,433,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90064,"LOS ANGELES, CA",G,42145,H,1097944,G,4069371,2440,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90065,"LOS ANGELES, CA",G,9443,G,124267,G,530139,1194,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90066,"LOS ANGELES, CA",G,15264,G,342703,G,1715106,1834,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90067,"LOS ANGELES, CA",G,38983,G,2243442,G,7876409,2919,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90068,"LOS ANGELES, CA",H,7352,G,116880,G,518727,1130,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90069,"WEST HOLLYWOOD, CA",G,25607,G,551318,G,2341407,2749,WEST HOLLYWOOD,CA,LOS ANGELES,0,1,0,California
90071,"LOS ANGELES, CA",G,46029,G,2134939,G,8489506,1115,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90073,"LOS ANGELES, CA",J,5494,J,327062,J,1158280,11,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90077,"LOS ANGELES, CA",G,2392,G,33018,G,160823,334,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90079,"LOS ANGELES, CA",H,696,J,31877,H,77468,82,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90089,"LOS ANGELES, CA",H,7976,H,154693,H,632628,40,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90094,"PLAYA VISTA, CA",G,7404,G,250682,G,898647,398,PLAYA VISTA,CA,LOS ANGELES,0,1,0,California
90095,"LOS ANGELES, CA",J,260,J,7764,J,32084,30,LOS ANGELES,CA,LOS ANGELES,0,1,0,California
90201,"BELL GARDENS, CA",G,14238,G,183901,G,753723,1012,BELL GARDENS,CA,LOS ANGELES,0,1,0,California
