fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,full_fips,coastalCounty,ALLCoastalCounty
06,095,623210,G,615,G,6354,G,26244,63,21,15,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62322,H,577,G,3624,G,13728,16,4,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,623220,H,577,G,3624,G,13728,16,4,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,6233,H,1461,H,14973,H,61517,92,49,18,9,8,6,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62331,H,1461,H,14973,H,61517,92,49,18,9,8,6,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,623311,J,469,J,6167,J,24003,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,623312,G,992,G,8806,G,37514,83,44,18,9,6,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,6239,G,5,J,26,J,324,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62399,G,5,J,26,J,324,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,623990,G,5,J,26,J,324,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624,G,3827,G,29961,G,128971,267,135,50,38,33,9,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,6241,H,2645,G,19337,G,81494,123,47,29,18,22,5,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62411,J,164,H,3074,H,12733,9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624110,J,164,H,3074,H,12733,9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62412,H,1998,G,11299,G,46790,69,22,15,9,18,4,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624120,H,1998,G,11299,G,46790,69,22,15,9,18,4,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,62419,G,483,G,4964,G,21971,45,23,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,624190,G,483,G,4964,G,21971,45,23,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
