ZIP,shore,FIPS,LDB,nonp,State,State_FIPS
2108,0,25025,0,1,MA,25
2109,1,25025,0,1,MA,25
2110,1,25025,0,1,MA,25
2111,0,25025,0,1,MA,25
2113,1,25025,0,1,MA,25
2114,1,25025,0,1,MA,25
2115,0,25025,0,1,MA,25
2116,0,25025,0,1,MA,25
2118,0,25025,0,1,MA,25
2119,0,25025,0,1,MA,25
2120,0,25025,0,1,MA,25
2121,0,25025,0,1,MA,25
2122,1,25025,0,1,MA,25
2124,0,25025,0,1,MA,25
2125,1,25025,0,1,MA,25
2126,0,25025,0,1,MA,25
2127,1,25025,0,1,MA,25
2128,1,25025,0,1,MA,25
2129,1,25025,0,1,MA,25
2130,0,25025,0,1,MA,25
2131,0,25025,0,1,MA,25
2132,0,25025,0,1,MA,25
2133,0,25025,0,1,MA,25
2134,0,25025,0,1,MA,25
2135,0,25025,0,1,MA,25
2136,0,25025,0,1,MA,25
2138,0,25017,0,1,MA,25
2139,0,25017,0,1,MA,25
2140,0,25017,0,1,MA,25
2141,1,25017,0,1,MA,25
2142,1,25017,0,1,MA,25
2143,0,25017,0,1,MA,25
2144,0,25017,0,1,MA,25
2145,1,25017,0,1,MA,25
2148,0,25017,0,1,MA,25
2149,1,25017,0,1,MA,25
2150,1,25025,0,1,MA,25
2151,1,25025,0,1,MA,25
2152,1,25025,0,1,MA,25
2155,1,25017,0,1,MA,25
2163,0,25025,0,1,MA,25
2169,1,25021,0,1,MA,25
2170,1,25021,0,1,MA,25
2171,1,25021,0,1,MA,25
2176,0,25017,0,1,MA,25
2180,0,25017,0,1,MA,25
2184,1,25021,0,1,MA,25
2186,0,25021,0,1,MA,25
2188,1,25021,0,1,MA,25
2189,0,25021,0,1,MA,25
2190,0,25021,0,1,MA,25
2191,1,25021,0,1,MA,25
2199,0,25025,0,1,MA,25
2203,0,25025,0,1,MA,25
2205,1,25025,0,1,MA,25
2210,1,25025,0,1,MA,25
2215,0,25025,0,1,MA,25
2301,0,25023,0,1,MA,25
2302,0,25023,0,1,MA,25
2322,0,25021,0,1,MA,25
2324,0,25023,0,1,MA,25
2325,0,25023,0,1,MA,25
2330,0,25023,0,1,MA,25
2332,1,25023,0,1,MA,25
2333,0,25023,0,1,MA,25
2338,0,25023,0,1,MA,25
2339,0,25023,0,1,MA,25
2341,0,25023,0,1,MA,25
2343,0,25021,0,1,MA,25
2346,0,25023,0,1,MA,25
2347,0,25023,0,1,MA,25
2350,0,25023,0,1,MA,25
2351,0,25023,0,1,MA,25
2356,0,25005,0,1,MA,25
2357,0,25005,0,1,MA,25
2359,0,25023,0,1,MA,25
2360,1,25023,0,1,MA,25
2364,1,25023,0,1,MA,25
2366,0,25023,0,1,MA,25
2367,0,25023,0,1,MA,25
2368,0,25021,0,1,MA,25
2370,0,25023,0,1,MA,25
2375,0,25005,0,1,MA,25
2379,0,25023,0,1,MA,25
2382,0,25023,0,1,MA,25
2420,0,25017,0,1,MA,25
2421,0,25017,0,1,MA,25
2445,0,25025,0,1,MA,25
2446,0,25025,0,1,MA,25
2451,0,25017,0,1,MA,25
2452,0,25017,0,1,MA,25
2453,0,25017,0,1,MA,25
2457,0,25021,0,1,MA,25
2458,0,25017,0,1,MA,25
2459,0,25017,0,1,MA,25
2460,0,25017,0,1,MA,25
2461,0,25017,0,1,MA,25
2462,0,25017,0,1,MA,25
2464,0,25017,0,1,MA,25
2465,0,25017,0,1,MA,25
2466,0,25017,0,1,MA,25
2467,0,25025,0,1,MA,25
2468,0,25017,0,1,MA,25
2472,0,25017,0,1,MA,25
2474,0,25017,0,1,MA,25
2476,0,25017,0,1,MA,25
2478,0,25017,0,1,MA,25
2481,0,25021,0,1,MA,25
2482,0,25021,0,1,MA,25
2492,0,25021,0,1,MA,25
2493,0,25017,0,1,MA,25
2494,0,25021,0,1,MA,25
2532,1,25001,0,1,MA,25
2534,1,25001,0,1,MA,25
2535,1,25007,0,1,MA,25
2536,1,25001,0,1,MA,25
2537,1,25001,0,1,MA,25
2538,1,25023,0,1,MA,25
2539,1,25007,0,1,MA,25
2540,1,25001,0,1,MA,25
2542,1,25001,0,1,MA,25
2543,1,25007,0,1,MA,25
2553,1,25001,0,1,MA,25
2554,1,25019,0,1,MA,25
2556,1,25001,0,1,MA,25
2557,1,25007,0,1,MA,25
2558,1,25023,0,1,MA,25
2559,1,25001,0,1,MA,25
2561,1,25001,0,1,MA,25
2562,1,25001,0,1,MA,25
2563,1,25001,0,1,MA,25
2564,1,25019,0,1,MA,25
2568,1,25007,0,1,MA,25
2571,1,25023,0,1,MA,25
2575,1,25007,0,1,MA,25
2576,0,25023,0,1,MA,25
2584,1,25019,0,1,MA,25
2601,1,25001,0,1,MA,25
2630,1,25001,0,1,MA,25
2631,1,25001,0,1,MA,25
2632,1,25001,0,1,MA,25
2633,1,25001,0,1,MA,25
2635,1,25001,0,1,MA,25
2637,1,25001,0,1,MA,25
2638,1,25001,0,1,MA,25
2639,1,25001,0,1,MA,25
2641,1,25001,0,1,MA,25
2642,1,25001,0,1,MA,25
2643,1,25001,0,1,MA,25
2644,0,25001,0,1,MA,25
2645,1,25001,0,1,MA,25
2646,1,25001,0,1,MA,25
2647,1,25001,0,1,MA,25
2648,1,25001,0,1,MA,25
2649,1,25001,0,1,MA,25
2650,1,25001,0,1,MA,25
2652,1,25001,0,1,MA,25
2653,1,25001,0,1,MA,25
2655,1,25001,0,1,MA,25
2657,1,25001,0,1,MA,25
2659,1,25001,0,1,MA,25
2660,1,25001,0,1,MA,25
2663,1,25001,0,1,MA,25
2664,1,25001,0,1,MA,25
2666,1,25001,0,1,MA,25
2667,1,25001,0,1,MA,25
2668,1,25001,0,1,MA,25
2670,1,25001,0,1,MA,25
2671,1,25001,0,1,MA,25
2672,1,25001,0,1,MA,25
2673,1,25001,0,1,MA,25
2675,1,25001,0,1,MA,25
2702,0,25005,0,1,MA,25
2703,0,25005,0,1,MA,25
2713,1,25007,0,1,MA,25
2715,0,25005,0,1,MA,25
2717,0,25005,0,1,MA,25
2718,0,25005,0,1,MA,25
2719,1,25005,0,1,MA,25
2720,0,25005,0,1,MA,25
2721,1,25005,0,1,MA,25
2723,0,25005,0,1,MA,25
2724,1,25005,0,1,MA,25
2725,1,25005,0,1,MA,25
2726,0,25005,0,1,MA,25
2738,1,25023,0,1,MA,25
2739,1,25023,0,1,MA,25
2740,1,25005,0,1,MA,25
2743,0,25005,0,1,MA,25
2744,1,25005,0,1,MA,25
2745,0,25005,0,1,MA,25
2746,0,25005,0,1,MA,25
2747,0,25005,0,1,MA,25
2748,1,25005,0,1,MA,25
2760,0,25005,0,1,MA,25
2762,0,25021,0,1,MA,25
2763,0,25005,0,1,MA,25
2764,0,25005,0,1,MA,25
2766,0,25005,0,1,MA,25
2767,0,25005,0,1,MA,25
2769,0,25005,0,1,MA,25
2770,0,25023,0,1,MA,25
2771,0,25005,0,1,MA,25
2777,1,25005,0,1,MA,25
2779,0,25005,0,1,MA,25
2780,0,25005,0,1,MA,25
2790,1,25005,0,1,MA,25
2791,1,25005,0,1,MA,25
2806,1,44001,1,0,RI,44
2807,1,44009,1,0,RI,44
2809,1,44001,1,0,RI,44
2813,1,44009,1,0,RI,44
2818,1,44003,1,0,RI,44
2835,1,44005,1,0,RI,44
2837,1,44005,1,0,RI,44
2840,1,44005,1,0,RI,44
2841,1,44005,1,0,RI,44
2842,1,44005,1,0,RI,44
2852,1,44009,1,0,RI,44
2860,1,44007,1,0,RI,44
2861,1,44007,1,0,RI,44
2871,1,44005,1,0,RI,44
2872,1,44005,1,0,RI,44
2874,1,44009,1,0,RI,44
2878,1,44005,1,0,RI,44
2879,1,44009,1,0,RI,44
2882,1,44009,1,0,RI,44
2885,1,44001,1,0,RI,44
2886,1,44003,1,0,RI,44
2888,1,44003,1,0,RI,44
2889,1,44003,1,0,RI,44
2891,1,44009,1,0,RI,44
2893,1,44003,1,0,RI,44
2903,1,44007,1,0,RI,44
2904,1,44007,1,0,RI,44
2905,1,44007,1,0,RI,44
2906,1,44007,1,0,RI,44
2908,1,44007,1,0,RI,44
2910,1,44007,1,0,RI,44
2912,1,44007,1,0,RI,44
2914,1,44007,1,0,RI,44
2915,1,44007,1,0,RI,44
2916,1,44007,1,0,RI,44
2920,1,44007,1,0,RI,44
3032,0,33015,0,1,NH,33
3034,0,33015,0,1,NH,33
3036,0,33015,0,1,NH,33
3037,0,33015,0,1,NH,33
3038,0,33015,0,1,NH,33
3042,0,33015,0,1,NH,33
3044,0,33015,0,1,NH,33
3053,0,33015,0,1,NH,33
3077,0,33015,0,1,NH,33
3079,0,33015,0,1,NH,33
3087,0,33015,0,1,NH,33
3261,0,33015,0,1,NH,33
3290,0,33015,0,1,NH,33
3291,0,33015,0,1,NH,33
3801,1,33015,0,1,NH,33
3811,0,33015,0,1,NH,33
3819,0,33015,0,1,NH,33
3820,1,33017,0,1,NH,33
