fips,county_name,statecode,state,STATE_FIPS,County_FIPS,region,czcty,fema,watershed,shore,shore100,Warehousing_TR_60,Minerals_LDB,urbaninfluence,NonParticipating,ruralurban,Warehousing_NAICS
10005,Sussex,10,DE,10,5,Mid-Atlantic,1,1,1,1,0,1,0,5,0,4,6
12005,Bay,12,FL,12,5,Gulf of Mexico,1,1,1,1,0,1,0,2,0,3,6
12009,Brevard,12,FL,12,9,Southeast,1,1,1,1,0,1,0,2,0,2,6
12011,Broward,12,FL,12,11,Southeast,1,1,1,1,0,1,0,1,0,1,6
12015,Charlotte,12,FL,12,15,Gulf of Mexico,1,1,1,1,0,1,0,2,0,3,6
12017,Citrus,12,FL,12,17,Gulf of Mexico,1,1,1,1,0,1,0,5,0,3,6
12019,Clay,12,FL,12,19,Southeast,1,1,1,1,0,0,0,1,0,1,6
12021,Collier,12,FL,12,21,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12029,Dixie,12,FL,12,29,Gulf of Mexico,1,1,1,1,1,1,0,7,0,8,6
12031,Duval,12,FL,12,31,Southeast,1,1,1,1,0,1,0,1,0,1,6
12033,Escambia,12,FL,12,33,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12035,Flagler,12,FL,12,35,Southeast,1,1,1,1,0,1,0,5,0,2,6
12037,Franklin,12,FL,12,37,Gulf of Mexico,1,1,1,1,1,1,0,7,0,8,6
12045,Gulf,12,FL,12,45,Gulf of Mexico,1,1,1,1,1,1,0,6,0,8,6
12053,Hernando,12,FL,12,53,Gulf of Mexico,1,1,1,1,0,1,0,1,0,1,6
12057,Hillsborough,12,FL,12,57,Gulf of Mexico,1,1,1,1,0,1,0,1,0,1,6
12061,Indian River,12,FL,12,61,Southeast,1,1,1,1,0,1,0,2,0,3,6
12065,Jefferson,12,FL,12,65,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12069,Lake,12,FL,12,69,Gulf of Mexico,1,0,1,0,0,0,0,1,0,1,4
12071,Lee,12,FL,12,71,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12073,Leon,12,FL,12,73,Gulf of Mexico,1,0,1,0,0,0,0,2,0,2,6
12075,Levy,12,FL,12,75,Gulf of Mexico,1,1,1,1,0,1,0,7,0,2,6
12077,Liberty,12,FL,12,77,Gulf of Mexico,1,1,1,0,0,0,0,7,0,8,6
12081,Manatee,12,FL,12,81,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,4
12085,Martin,12,FL,12,85,Southeast,1,1,1,1,0,1,0,2,0,2,6
12086,Miami-Dade,12,FL,12,86,Southeast,1,1,1,1,0,1,0,1,0,1,6
12087,Monroe,12,FL,12,87,Gulf of Mexico,1,1,1,1,1,1,0,3,0,4,6
12089,Nassau,12,FL,12,89,Southeast,1,1,1,1,0,1,0,1,0,1,6
12091,Okaloosa,12,FL,12,91,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12095,Orange,12,FL,12,95,Southeast,1,0,1,0,0,0,0,1,0,1,6
12099,Palm Beach,12,FL,12,99,Southeast,1,1,1,1,0,1,0,1,0,1,6
12101,Pasco,12,FL,12,101,Gulf of Mexico,1,1,1,1,0,1,0,1,0,1,6
12103,Pinellas,12,FL,12,103,Gulf of Mexico,1,1,1,1,0,1,0,1,0,1,6
12105,Polk,12,FL,12,105,Gulf of Mexico,1,0,1,0,0,0,0,2,0,2,6
12107,Putnam,12,FL,12,107,Southeast,1,1,1,0,0,0,0,3,0,4,6
12109,St. Johns,12,FL,12,109,Southeast,1,1,1,1,0,1,0,1,0,1,6
12111,St. Lucie,12,FL,12,111,Southeast,1,1,1,1,0,1,0,2,0,2,6
12113,Santa Rosa,12,FL,12,113,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12115,Sarasota,12,FL,12,115,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
12117,Seminole,12,FL,12,117,Southeast,1,0,1,0,0,0,0,1,0,1,4
12123,Taylor,12,FL,12,123,Gulf of Mexico,1,1,1,1,0,1,0,6,0,6,6
12127,Volusia,12,FL,12,127,Southeast,1,1,1,1,0,1,0,2,0,2,4
12129,Wakulla,12,FL,12,129,Gulf of Mexico,1,1,1,1,1,1,0,2,0,2,6
12131,Walton,12,FL,12,131,Gulf of Mexico,1,1,1,1,0,1,0,6,0,2,6
13025,Brantley,13,GA,13,25,Southeast,1,1,1,0,0,0,0,2,0,3,6
13029,Bryan,13,GA,13,29,Southeast,1,1,1,1,0,1,0,2,0,2,6
13039,Camden,13,GA,13,39,Southeast,1,1,1,1,0,1,0,3,0,4,6
13049,Charlton,13,GA,13,49,Southeast,1,1,1,0,0,0,0,4,0,8,6
13051,Chatham,13,GA,13,51,Southeast,1,1,1,1,0,1,0,2,0,2,6
13127,Glynn,13,GA,13,127,Southeast,1,1,1,1,1,1,0,2,0,3,6
13179,Liberty,13,GA,13,179,Southeast,1,1,1,1,0,1,0,2,0,3,6
13191,McIntosh,13,GA,13,191,Southeast,1,1,1,1,1,1,0,2,0,3,6
13305,Wayne,13,GA,13,305,Southeast,1,1,1,0,0,0,0,5,0,6,6
15001,Hawaii,15,HI,15,1,Pacific,1,1,1,1,1,1,0,8,0,5,6
15003,Honolulu,15,HI,15,3,Pacific,1,1,1,1,1,1,0,2,0,1,6
15005,Kalawao,15,HI,15,5,Pacific,1,1,1,1,1,1,0,8,0,3,6
15007,Kauai,15,HI,15,7,Pacific,1,1,1,1,1,1,0,8,0,5,6
15009,Maui,15,HI,15,9,Pacific,1,1,1,1,1,1,0,8,0,3,6
15901,Maui and Kalawao,15,HI,15,901,Pacific,1,1,1,1,1,1,0,8,0,3,6
17031,Cook,17,IL,17,31,Great Lakes,1,1,1,1,0,1,0,1,0,1,6
17097,Lake,17,IL,17,97,Great Lakes,1,1,1,1,0,1,0,1,0,1,6
18089,Lake,18,IN,18,89,Great Lakes,1,1,1,1,0,1,0,1,0,1,6
18091,La Porte,18,IN,18,91,Great Lakes,1,1,1,1,0,1,0,2,0,3,4
18127,Porter,18,IN,18,127,Great Lakes,1,1,1,1,0,1,0,1,0,1,4
